"Alice";14;"My house has a beautiful garden, I wish dad could play with me more...";"I like to play in the garden.";"aristocrat";0
"Mad Hatter";"";"I'm from a land of wonder and possibility.";"My tea parties have no parallel.";"commoner";0
"Red Queen";"";"I must return to my palace at once!";"Did you see a flamingo? I lost my cricket bat...";"nobel";0
"Ariel";17;"My home is the land and sea.";"I have a collection of things-in-a-box.";"nobel";1
"Ursula";"";"I reside in an undersea grotto with my minions.";"I help poor unfortunate souls.";"witch";1
"Mowgli";12;"I am from the jungle.";"During the days I play with my friends and try to avoid danger.";"orphan";2
"Balu";"";"The jungle is my home.";"Living life and caring for my little friend fills my day.";"bear";2
"Dr. Frankenstein";23;"I have a castle on the mountain side.";"My days are occupied by experiments and research.";"doctor";3
"Monster";"";"Hurr....";"Gaaarr...";"monster";3
"Sherlock Holmes";40;"I live in the exciting city of London.";"Solving mysteries is my passion and calling.";"detective";4
"Watson";36;"Londoner, sir, and proud too.";"I am happy helping my partner how I can.";"detective";4
"Khaleesi";22;"Home is where my people are and need me.";"Leading is what I've been born to do.";"nobel";5
"John";24;"The north is my home.";"I must fight for what is right and for the safety of all.";"warrior";5
"Carlos";25;"Though I travel, Lisbon is my home.";"My drive is to help and cure the ill.";"doctor";6
"Damaso";24;"I am home with the high society.";"Enjoying life is the most important.";"rich";6
"Wade";17;"My home is in the stacks.";"The world as it is... Elysium is better.";"student";7
"Artemis";18;"My life is spent in hiding...";"I have to work to change the this world and its greed.";"activist";7
